column,score,group
updateDate,1338,1
description_nchar,1337,1
scheduleDuration,1263,1
responseAvgTime,993,1
accpetRate,465,1
sitter_apply_count,436,1
responseRate,392,1
wantedPayment,250,1
sitter_care_type,212,1
sitter_review_count,125,1
certResidentRegistration,125,1
simpleDishWashing,120,1
outdoorActivity,108,1
studyGuide,86,1
simpleCleaning,79,1
koreaStudy,77,1
sitter_review_count,72,1
storytelling,69,1
athleticPlay,67,1
englishPlay,65,1
quickResponse,61,1
insurance_status,57,1
monNight,55,1
sitter_reply_count,54,1
preferChildAgeYong,51,1
tueNight,49,1
friNight,47,1
wedNight,43,1
tueMorning,40,1
friMorning,37,1
simpleCooking,37,1
satNight,36,1
monMorning,36,1
sunNoon,35,1
preferChildAgeChild,34,1
thuMorning,32,1
friNoon,31,1
sunMorning,29,1
tueNoon,29,1
monNoon,28,1
satMorning,26,1
satNoon,25,1
sunNight,24,1
wedNoon,21,1
thuNoon,20,1
thuNight,19,1
wedMorning,18,1
cctv,10,1
longResidentSitter,7,1
shortResidentSitter,4,1
userAge,980,2
bookmark_count,469,2
experience_count,296,2
averageReviewRate,281,2
reviewCount,222,2
schoolCompanion,88,2
certChildCare,66,2
certEnrollment,60,2
certFamilyrelation,54,2
certPAT,50,2
certEtest,30,2
Gender,22,2
certMedicalExamination,19,2
sitter_profileImage_count,222,3
userTypeid,172,3
starting_point_status,132,3
certLabel_status,105,3
preferCHildAgeElement,56,3
userGender,2,3
